frame,L,R,avg_looking_dir
11,0.30434782608695654,0.2608695652173913,RIGHT
12,0.26666666666666666,0.2826086956521739,RIGHT
13,0.3111111111111111,0.2765957446808511,RIGHT
14,0.28888888888888886,0.2553191489361702,RIGHT
15,0.28888888888888886,0.2553191489361702,RIGHT
16,0.2826086956521739,0.2608695652173913,RIGHT
17,0.26666666666666666,0.2391304347826087,RIGHT
18,0.28888888888888886,0.2553191489361702,RIGHT
19,0.28888888888888886,0.2553191489361702,RIGHT
20,0.28888888888888886,0.2553191489361702,RIGHT
21,0.2826086956521739,0.2553191489361702,RIGHT
22,0.30434782608695654,0.2608695652173913,RIGHT
23,0.28888888888888886,0.2826086956521739,RIGHT
24,0.2727272727272727,0.2608695652173913,RIGHT
25,0.3111111111111111,0.2765957446808511,RIGHT
26,0.29545454545454547,0.26666666666666666,RIGHT
27,0.3111111111111111,0.30434782608695654,RIGHT
28,0.3111111111111111,0.2916666666666667,RIGHT
29,0.3111111111111111,0.2826086956521739,RIGHT
30,0.3111111111111111,0.2765957446808511,RIGHT
31,0.28888888888888886,0.2765957446808511,RIGHT
32,0.26666666666666666,0.2916666666666667,RIGHT
33,0.2826086956521739,0.2978723404255319,RIGHT
34,0.28888888888888886,0.2978723404255319,RIGHT
35,0.2727272727272727,0.2826086956521739,RIGHT
36,0.28888888888888886,0.3191489361702128,RIGHT
37,0.3333333333333333,0.34782608695652173,RIGHT
38,0.35555555555555557,0.3617021276595745,RIGHT
39,0.35555555555555557,0.3695652173913043,RIGHT
40,0.35555555555555557,0.3695652173913043,RIGHT
41,0.35555555555555557,0.3695652173913043,RIGHT
42,0.36363636363636365,0.3695652173913043,RIGHT
43,0.3409090909090909,0.391304347826087,RIGHT
44,0.36363636363636365,0.391304347826087,RIGHT
45,0.3409090909090909,0.3695652173913043,RIGHT
46,0.3409090909090909,0.3829787234042553,RIGHT
47,0.3409090909090909,0.37777777777777777,RIGHT
48,0.3409090909090909,0.41304347826086957,RIGHT
49,0.38636363636363635,0.45652173913043476,CENTER
50,0.45454545454545453,0.4666666666666667,CENTER
51,0.5,0.5,CENTER
52,0.5111111111111111,0.5217391304347826,CENTER
53,0.5111111111111111,0.5434782608695652,CENTER
54,0.5217391304347826,0.5319148936170213,CENTER
55,0.5111111111111111,0.5531914893617021,CENTER
56,0.5217391304347826,0.5531914893617021,CENTER
57,0.5217391304347826,0.5531914893617021,CENTER
58,0.5227272727272727,0.5652173913043478,CENTER
59,0.5681818181818182,0.5869565217391305,CENTER
60,0.5869565217391305,0.6170212765957447,LEFT
61,0.5909090909090909,0.5957446808510638,CENTER
62,0.5909090909090909,0.6086956521739131,CENTER
63,0.6,0.5957446808510638,CENTER
64,0.5909090909090909,0.5957446808510638,CENTER
65,0.6,0.6086956521739131,LEFT
66,0.5777777777777777,0.6086956521739131,CENTER
67,0.5777777777777777,0.6086956521739131,CENTER
68,0.5909090909090909,0.6086956521739131,CENTER
69,0.5555555555555556,0.5869565217391305,CENTER
70,0.5681818181818182,0.5652173913043478,CENTER
71,0.5777777777777777,0.5555555555555556,CENTER
72,0.5681818181818182,0.5652173913043478,CENTER
73,0.5777777777777777,0.5777777777777777,CENTER
74,0.5813953488372093,0.5652173913043478,CENTER
75,0.5681818181818182,0.5652173913043478,CENTER
76,0.5777777777777777,0.5652173913043478,CENTER
77,0.5681818181818182,0.5652173913043478,CENTER
78,0.5681818181818182,0.5652173913043478,CENTER
79,0.5681818181818182,0.5555555555555556,CENTER
80,0.5454545454545454,0.5434782608695652,CENTER
81,0.5348837209302325,0.5333333333333333,CENTER
82,0.5,0.5217391304347826,CENTER
83,0.5,0.5333333333333333,CENTER
84,0.5227272727272727,0.5217391304347826,CENTER
85,0.5333333333333333,0.5434782608695652,CENTER
86,0.5111111111111111,0.5434782608695652,CENTER
87,0.5227272727272727,0.5217391304347826,CENTER
88,0.5227272727272727,0.5217391304347826,CENTER
89,0.5227272727272727,0.5217391304347826,CENTER
90,0.5227272727272727,0.5217391304347826,CENTER
91,0.5,0.5111111111111111,CENTER
92,0.5,0.5217391304347826,CENTER
93,0.5,0.5111111111111111,CENTER
94,0.5348837209302325,0.5555555555555556,CENTER
95,0.5454545454545454,0.6,CENTER
96,0.5681818181818182,0.6,CENTER
97,0.5813953488372093,0.6222222222222222,LEFT
98,0.5813953488372093,0.6222222222222222,LEFT
99,0.5909090909090909,0.6222222222222222,LEFT
100,0.5909090909090909,0.6086956521739131,CENTER
101,0.6,0.6222222222222222,LEFT
102,0.6,0.6304347826086957,LEFT
103,0.5777777777777777,0.6304347826086957,LEFT
104,0.5777777777777777,0.6304347826086957,LEFT
105,0.6,0.6222222222222222,LEFT
106,0.6,0.6,CENTER
107,0.6,0.6304347826086957,LEFT
108,0.6,0.6304347826086957,LEFT
109,0.6,0.6304347826086957,LEFT
110,0.5777777777777777,0.6086956521739131,CENTER
111,0.5909090909090909,0.6304347826086957,LEFT
112,0.6,0.6086956521739131,LEFT
113,0.5777777777777777,0.6304347826086957,LEFT
114,0.5909090909090909,0.6086956521739131,CENTER
115,0.6136363636363636,0.6304347826086957,LEFT
116,0.6136363636363636,0.6304347826086957,LEFT
117,0.6,0.6521739130434783,LEFT
118,0.6136363636363636,0.6304347826086957,LEFT
119,0.6136363636363636,0.6304347826086957,LEFT
120,0.6046511627906976,0.6304347826086957,LEFT
121,0.6136363636363636,0.6444444444444445,LEFT
122,0.6136363636363636,0.6304347826086957,LEFT
123,0.6136363636363636,0.6444444444444445,LEFT
124,0.6136363636363636,0.6304347826086957,LEFT
125,0.6136363636363636,0.6444444444444445,LEFT
126,0.6136363636363636,0.6304347826086957,LEFT
127,0.6590909090909091,0.6304347826086957,LEFT
128,0.6363636363636364,0.6304347826086957,LEFT
129,0.6363636363636364,0.6304347826086957,LEFT
130,0.6444444444444445,0.6304347826086957,LEFT
131,0.6222222222222222,0.6304347826086957,LEFT
132,0.6,0.6304347826086957,LEFT
133,0.6136363636363636,0.6304347826086957,LEFT
134,0.6136363636363636,0.6304347826086957,LEFT
135,0.6136363636363636,0.6304347826086957,LEFT
136,0.6222222222222222,0.6304347826086957,LEFT
137,0.6363636363636364,0.6304347826086957,LEFT
138,0.6363636363636364,0.6444444444444445,LEFT
139,0.6363636363636364,0.6444444444444445,LEFT
140,0.6363636363636364,0.6666666666666666,LEFT
141,0.6363636363636364,0.6666666666666666,LEFT
142,0.6222222222222222,0.6521739130434783,LEFT
143,0.6136363636363636,0.6666666666666666,LEFT
144,0.6222222222222222,0.6666666666666666,LEFT
145,0.6222222222222222,0.6521739130434783,LEFT
146,0.6136363636363636,0.6382978723404256,LEFT
147,0.6136363636363636,0.6521739130434783,LEFT
148,0.6136363636363636,0.6521739130434783,LEFT
149,0.6136363636363636,0.6444444444444445,LEFT
150,0.6136363636363636,0.6382978723404256,LEFT
151,0.6136363636363636,0.6444444444444445,LEFT
152,0.6136363636363636,0.6521739130434783,LEFT
153,0.6136363636363636,0.6521739130434783,LEFT
154,0.6136363636363636,0.6521739130434783,LEFT
155,0.5813953488372093,0.6,CENTER
156,0.5813953488372093,0.6,CENTER
157,0.5909090909090909,0.5869565217391305,CENTER
158,0.5813953488372093,0.5777777777777777,CENTER
159,0.5813953488372093,0.5909090909090909,CENTER
160,0.5813953488372093,0.6,CENTER
161,0.5813953488372093,0.6,CENTER
162,0.5681818181818182,0.6,CENTER
163,0.5777777777777777,0.6,CENTER
164,0.5681818181818182,0.6,CENTER
165,0.5909090909090909,0.6,CENTER
166,0.5813953488372093,0.5909090909090909,CENTER
167,0.5813953488372093,0.6,CENTER
168,0.5909090909090909,0.6,CENTER
169,0.5813953488372093,0.5869565217391305,CENTER
170,0.5813953488372093,0.6222222222222222,LEFT
171,0.5777777777777777,0.6086956521739131,CENTER
172,0.5777777777777777,0.6086956521739131,CENTER
173,0.5681818181818182,0.6086956521739131,CENTER
174,0.5681818181818182,0.5869565217391305,CENTER
175,0.5555555555555556,0.5957446808510638,CENTER
176,0.5454545454545454,0.6086956521739131,CENTER
177,0.5454545454545454,0.6086956521739131,CENTER
178,0.5555555555555556,0.5869565217391305,CENTER
179,0.5777777777777777,0.6086956521739131,CENTER
180,0.5909090909090909,0.6086956521739131,CENTER
181,0.6,0.5957446808510638,CENTER
182,0.6,0.6086956521739131,LEFT
183,0.6,0.5957446808510638,CENTER
184,0.6,0.6304347826086957,LEFT
185,0.5909090909090909,0.6304347826086957,LEFT
186,0.6136363636363636,0.6304347826086957,LEFT
187,0.6,0.6086956521739131,LEFT
188,0.5909090909090909,0.6304347826086957,LEFT
189,0.5909090909090909,0.6304347826086957,LEFT
190,0.6046511627906976,0.6304347826086957,LEFT
191,0.5909090909090909,0.6304347826086957,LEFT
192,0.5909090909090909,0.6521739130434783,LEFT
193,0.5909090909090909,0.6170212765957447,LEFT
194,0.6046511627906976,0.6222222222222222,LEFT
195,0.5909090909090909,0.6086956521739131,CENTER
196,0.5909090909090909,0.6222222222222222,LEFT
197,0.6046511627906976,0.6170212765957447,LEFT
198,0.5909090909090909,0.6086956521739131,CENTER
199,0.5909090909090909,0.6086956521739131,CENTER
200,0.6046511627906976,0.6222222222222222,LEFT
201,0.5909090909090909,0.6086956521739131,CENTER
202,0.5681818181818182,0.6222222222222222,CENTER
203,0.5813953488372093,0.6,CENTER
204,0.5813953488372093,0.6,CENTER
205,0.5681818181818182,0.6,CENTER
206,0.5681818181818182,0.6,CENTER
207,0.5813953488372093,0.6,CENTER
208,0.5813953488372093,0.6,CENTER
209,0.5813953488372093,0.6,CENTER
210,0.5681818181818182,0.6,CENTER
211,0.5813953488372093,0.6,CENTER
212,0.5681818181818182,0.5777777777777777,CENTER
213,0.5813953488372093,0.5777777777777777,CENTER
214,0.5813953488372093,0.5909090909090909,CENTER
215,0.5777777777777777,0.5777777777777777,CENTER
216,0.5333333333333333,0.5434782608695652,CENTER
217,0.5227272727272727,0.5111111111111111,CENTER
218,0.5333333333333333,0.4888888888888889,CENTER
219,0.5,0.4888888888888889,CENTER
220,0.5111111111111111,0.5,CENTER
221,0.5111111111111111,0.4888888888888889,CENTER
222,0.5111111111111111,0.4888888888888889,CENTER
223,0.5,0.4888888888888889,CENTER
224,0.5111111111111111,0.5,CENTER
225,0.5111111111111111,0.4888888888888889,CENTER
226,0.5111111111111111,0.5,CENTER
227,0.5111111111111111,0.5,CENTER
228,0.5111111111111111,0.5111111111111111,CENTER
229,0.5227272727272727,0.5,CENTER
230,0.5111111111111111,0.4782608695652174,CENTER
231,0.5,0.4888888888888889,CENTER
232,0.5116279069767442,0.4888888888888889,CENTER
233,0.5,0.4888888888888889,CENTER
234,0.5238095238095238,0.4772727272727273,CENTER
235,0.5227272727272727,0.4888888888888889,CENTER
236,0.5111111111111111,0.5,CENTER
237,0.5,0.4888888888888889,CENTER
238,0.5,0.4888888888888889,CENTER
239,0.5227272727272727,0.4888888888888889,CENTER
240,0.5227272727272727,0.4888888888888889,CENTER
241,0.5,0.5111111111111111,CENTER
242,0.5,0.5,CENTER
243,0.5111111111111111,0.4888888888888889,CENTER
244,0.5116279069767442,0.5,CENTER
245,0.5116279069767442,0.5111111111111111,CENTER
246,0.5116279069767442,0.4888888888888889,CENTER
247,0.5116279069767442,0.5111111111111111,CENTER
248,0.5,0.4888888888888889,CENTER
249,0.4883720930232558,0.4888888888888889,CENTER
250,0.5,0.5111111111111111,CENTER
251,0.5,0.4888888888888889,CENTER
252,0.5,0.4888888888888889,CENTER
253,0.5227272727272727,0.4888888888888889,CENTER
254,0.5,0.4772727272727273,CENTER
255,0.5,0.4888888888888889,CENTER
256,0.5116279069767442,0.4888888888888889,CENTER
257,0.5116279069767442,0.4888888888888889,CENTER
258,0.5227272727272727,0.4888888888888889,CENTER
259,0.5,0.4888888888888889,CENTER
260,0.5,0.4888888888888889,CENTER
261,0.5,0.4772727272727273,CENTER
262,0.5,0.4888888888888889,CENTER
263,0.5,0.4888888888888889,CENTER
264,0.5,0.4772727272727273,CENTER
265,0.5,0.4888888888888889,CENTER
266,0.5,0.4772727272727273,CENTER
267,0.4772727272727273,0.4888888888888889,CENTER
268,0.45454545454545453,0.45454545454545453,CENTER
269,0.42857142857142855,0.4186046511627907,CENTER
270,0.40476190476190477,0.4186046511627907,CENTER
271,0.35714285714285715,0.3953488372093023,RIGHT
272,0.3170731707317073,0.3953488372093023,RIGHT
273,0.30952380952380953,0.36363636363636365,RIGHT
274,0.32558139534883723,0.36363636363636365,RIGHT
275,0.3409090909090909,0.35555555555555557,RIGHT
276,0.32558139534883723,0.35555555555555557,RIGHT
277,0.3409090909090909,0.32608695652173914,RIGHT
278,0.3333333333333333,0.3333333333333333,RIGHT
279,0.3333333333333333,0.34782608695652173,RIGHT
280,0.3333333333333333,0.3695652173913043,RIGHT
281,0.3333333333333333,0.34782608695652173,RIGHT
282,0.3333333333333333,0.34782608695652173,RIGHT
283,0.3333333333333333,0.34782608695652173,RIGHT
284,0.3333333333333333,0.34782608695652173,RIGHT
285,0.3409090909090909,0.34782608695652173,RIGHT
286,0.3333333333333333,0.3617021276595745,RIGHT
287,0.3333333333333333,0.3617021276595745,RIGHT
288,0.3333333333333333,0.3617021276595745,RIGHT
289,0.3333333333333333,0.3617021276595745,RIGHT
290,0.3409090909090909,0.34782608695652173,RIGHT
291,0.3181818181818182,0.3333333333333333,RIGHT
292,0.3409090909090909,0.32608695652173914,RIGHT
293,0.3333333333333333,0.3617021276595745,RIGHT
294,0.3333333333333333,0.3404255319148936,RIGHT
295,0.3333333333333333,0.32608695652173914,RIGHT
296,0.3333333333333333,0.32608695652173914,RIGHT
297,0.3333333333333333,0.34782608695652173,RIGHT
298,0.3333333333333333,0.34782608695652173,RIGHT
299,0.3333333333333333,0.34782608695652173,RIGHT
300,0.3333333333333333,0.3333333333333333,RIGHT
